,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind
0,Jamestown,42.097,-79.2353,266.72,79,90,2.06
1,Ushuaia,-54.8,-68.3,294.15,68,40,1.03
2,Honningsvåg,70.9821,25.9704,268.15,58,40,11.32
3,Arcata,40.8665,-124.0828,284.66,81,75,3.09
4,Marivan,35.5219,46.176,278.83,61,46,0.38
5,San Patricio,28.017,-97.5169,296.0,78,20,7.72
6,Yellowknife,62.456,-114.3525,251.0,70,75,6.17
7,Kruisfontein,-34.0033,24.7314,290.93,90,23,1.74
8,Punta Arenas,-53.15,-70.9167,293.15,56,0,3.6
9,Busselton,-33.65,115.3333,286.62,92,68,0.45
10,Nome,64.5011,-165.4064,255.15,46,1,7.72
11,Cape Town,-33.9258,18.4232,293.29,77,0,7.72
12,Tazovsky,67.4667,78.7,243.02,86,40,4.91
13,Vicksburg,32.3526,-90.8779,294.15,60,1,2.06
14,Nanortalik,60.1432,-45.2371,271.34,86,55,7.53
15,Kapaa,22.0752,-159.319,295.4,46,1,6.69
16,Esperance,-33.8667,121.9,289.15,82,0,2.57
17,Butaritari,3.0707,172.7902,300.57,81,75,6.25
18,Khani,41.9563,42.9566,282.15,87,0,4.12
19,Tautira,-17.7333,-149.15,296.15,88,75,5.66
20,Saint-Philippe,-21.3585,55.7679,297.61,65,40,1.54
21,Hilo,19.7297,-155.09,293.72,78,90,5.66
22,Ugoofaaru,5.6667,73.0,300.72,68,17,3.35
23,George Town,5.4112,100.3354,298.51,88,20,0.51
24,Bredasdorp,-34.5322,20.0403,288.15,88,27,1.03
25,Shestakovo,56.4915,103.96,258.49,90,100,1.88
26,Castro,-24.7911,-50.0119,290.29,79,79,3.36
27,Tomatlán,19.9333,-105.25,299.76,52,0,2.9
28,Waipawa,-41.4122,175.5153,289.23,88,75,11.83
29,Bambous Virieux,-20.3428,57.7575,297.62,83,40,4.44
30,Vavuniya,8.7514,80.4971,291.6,94,93,1.26
31,Rudnichnyy,59.617,52.4703,241.97,86,6,2.08
32,Faanui,-16.4833,-151.75,300.97,72,0,5.77
33,Yablonovo,50.8523,37.3574,267.15,93,90,3.0
34,Yatou,37.15,122.3833,274.91,90,1,4.27
35,Hobart,-42.8794,147.3294,289.84,51,20,2.57
36,Tuktoyaktuk,69.4541,-133.0374,234.15,74,20,3.6
