,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind
0,Severodvinsk,64.5635,39.8302,-4.0,84,90,2.24
1,Koran,43.8103,18.5689,44.29,100,75,4.61
2,Butaritari,3.0707,172.7902,81.34,77,100,15.75
3,Goundam,16.4145,-3.6708,81.45,14,8,9.51
4,Ajdabiya,30.7554,20.2263,65.05,27,0,10.51
5,Batagay,67.6333,134.6333,-23.06,82,32,2.01
6,Bluff,-46.6,168.3333,53.06,89,100,35.14
7,Acurenam,1.0322,10.6488,70.84,94,100,2.8
8,Saint-François,46.4154,3.9054,30.56,86,90,10.36
9,Vao,-22.6667,167.4833,76.48,81,1,7.49
10,Hilo,19.7297,-155.09,71.06,60,90,10.36
11,Thompson,55.7435,-97.8558,-20.2,69,75,6.91
12,Ngama,11.7833,17.1667,76.64,16,19,9.22
13,Portree,57.4129,-6.1942,27.0,69,0,8.01
14,Chui,-33.6971,-53.4616,75.6,75,71,11.97
15,Punta Arenas,-53.15,-70.9167,66.09,55,0,10.36
16,Fairbanks,64.8378,-147.7164,-5.28,65,90,3.4
17,Lucea,18.451,-78.1736,82.18,74,75,19.57
18,Kafanchan,9.5833,8.3,74.17,20,0,3.0
19,Saint Paul Harbor,57.79,-152.4072,37.4,81,90,18.41
20,Abéché,13.8292,20.8324,71.01,20,0,5.84
21,Rikitea,-23.1203,-134.9692,79.12,73,44,12.24
22,Kudymkar,59.0173,54.656,-15.2,88,0,2.66
23,Ulagan,50.6321,87.9563,-11.58,73,5,3.13
24,Koźle,50.3356,18.1433,18.34,10,100,5.01
25,La Rioja,42.25,-2.5,46.4,71,0,1.14
26,Cape Town,-33.9258,18.4232,70.0,78,0,17.27
27,Provideniya,64.3833,-173.3,-11.2,70,0,15.66
28,Port Alfred,-33.5906,26.891,73.0,93,15,9.19
29,Hobart,-42.8794,147.3294,50.9,82,0,9.22
30,Dikson,73.5069,80.5464,-21.15,89,92,8.1
31,Lorengau,-2.0226,147.2712,76.15,91,100,20.42
32,Katobu,-4.9408,122.5276,76.12,87,85,2.37
33,Mataura,-46.1927,168.8643,49.41,93,100,11.61
34,Atuona,-9.8,-139.0333,79.0,77,1,18.63
35,Port Elizabeth,-33.918,25.5701,75.2,88,75,4.61
36,Vaini,-21.2,-175.2,78.85,87,89,14.79
37,Wewak,-3.5534,143.6268,76.82,89,100,5.32
38,Albany,42.6001,-73.9662,27.28,45,100,3.0
39,Geraldton,-28.7667,114.6,59.0,82,0,9.22
40,Hermanus,-34.4187,19.2345,70.0,80,0,4.0
41,Zaranj,30.9667,61.8833,51.8,35,0,6.91
42,Teacapan,22.55,-105.75,73.35,58,0,9.66
43,Khatanga,71.9667,102.5,-17.41,84,92,5.14
44,Ancud,-41.8697,-73.8203,82.22,44,0,9.22
45,Bethel,41.3712,-73.414,30.29,46,1,9.22
